subj,side,cond,bout,MDF,MNF,peakF,totpow,p_20_60,p_60_150,p_150_250,p_250_450,n_cycles,chew_rate,cv_ipi,med_dur,med_amp,med_area,duty,rms_amp
S4,R,ANE,3,108.0,118.03383791291176,64.0,1.3556872434365368e-08,2.5741488073747993e-09,7.08373637020255e-09,3.2332833103424824e-09,5.11294498095379e-10,97,1.6370903277378097,0.12792582003742337,0.46533203125,0.00013914293870926728,3.6214630772468995e-05,0.741455078125,0.00011703227835370245
S4,R,ANE,4,115.0,122.99843359423106,82.0,1.7447440869451757e-08,2.766564483421597e-09,9.30967703474097e-09,4.490423841674676e-09,6.759683950862678e-10,92,1.5515151515151515,0.1515532517636301,0.474609375,0.00016462467194114833,4.2384499015990835e-05,0.7113932291666667,0.00013204446579134267
S4,R,PLA,1,108.0,117.18153038580444,63.0,2.2181514237109844e-08,4.128234621111791e-09,1.1842565589413181e-08,5.19894887468823e-09,7.491870618868623e-10,87,1.4576512455516015,0.23797785240016894,0.4765625,0.00017784019323342,5.127314997960098e-05,0.674560546875,0.00014799232313857693
S4,R,PLA,2,95.0,108.99146014021096,73.0,1.5742709807731198e-08,3.572940587287063e-09,8.420355907047807e-09,3.1112772657745998e-09,4.5346458585372733e-10,95,1.615141955835962,0.11767075460104293,0.4619140625,0.00019278170172792216,4.044326650700244e-05,0.7254069010416667,0.00012621091466369485
S4,R,PLA,3,116.0,124.15945486025657,103.0,1.67925203227837e-08,2.5774673689939034e-09,8.815163711834949e-09,4.540147298104795e-09,6.467942997190117e-10,99,1.6828266228430566,0.1419879365051783,0.45263671875,0.000184094681241287,3.829422797302308e-05,0.73544921875,0.0001290864968156661
S4,R,PLA,4,117.0,124.66775463443457,103.0,1.8251448181422966e-08,2.8303291580785207e-09,9.49932496382034e-09,4.981647027176528e-09,7.248583119107305e-10,100,1.656957928802589,0.11914582969052818,0.4501953125,0.00018402576079233399,4.123471100273181e-05,0.761865234375,0.00013672825142884305
PS13,R,ANE,1,82.0,91.68970855519773,28.0,1.467116887059143e-08,5.202021290754301e-09,7.1197790349921496e-09,1.9963100006306376e-09,1.9541896632478512e-10,91,1.508100147275405,0.2658698459392847,0.49072265625,8.280807042759825e-05,4.007738295613183e-05,0.7607747395833333,0.00012072865848168748
PS13,R,ANE,2,87.0,95.87740554625044,31.0,1.2659709229490286e-08,4.017384426900806e-09,6.433621306793527e-09,1.897553786498011e-09,1.779717667473134e-10,87,1.526080476900149,0.27265637461325126,0.4755859375,0.0001237060398898833,3.418233701152321e-05,0.6926920572916667,0.0001132707276311333
PS13,R,ANE,3,94.0,102.62869880286128,82.0,1.849051539585923e-08,4.4997308238420915e-09,1.0486803073067719e-08,3.008450447574813e-09,2.975972389757207e-10,86,1.4733812949640288,0.16864046648105707,0.482421875,0.00018207646395407563,4.10219850865382e-05,0.7133463541666667,0.00013441215295361772
PS13,R,ANE,4,91.0,99.00645341047029,43.0,1.3547956530267112e-08,3.761726411123932e-09,7.396590144516737e-09,2.0652508174926783e-09,1.809832314165357e-10,90,1.494890510948905,0.22888032804115857,0.48046875,0.00010759839009620235,3.721069615027373e-05,0.7433756510416667,0.00011739709434389209
PS13,R,PLA,1,84.0,92.73977884664622,77.0,1.3204261753663224e-08,3.742157269110758e-09,7.645420761022919e-09,1.5217076210346798e-09,1.3194982291150196e-10,88,1.3580901856763925,0.3038288290854314,0.4619140625,0.00010269741662501146,3.8871004518586766e-05,0.6852701822916667,0.00011619797683896562
PS13,R,PLA,2,94.0,102.8153011317624,45.0,1.1280036082763891e-08,2.7749548355098757e-09,6.3779761054329594e-09,1.837508432239103e-09,1.7554814178182274e-10,83,1.3726541554959786,0.3019247257432965,0.47607421875,9.059101394579604e-05,3.706110021768009e-05,0.6718424479166667,0.00010668856622734754
PS13,R,PLA,3,92.0,102.11497768159458,85.0,1.0631578985683663e-08,2.3932161366776013e-09,6.274207595417859e-09,1.6899404233109303e-09,1.5002787677667595e-10,85,1.4524822695035462,0.2896921280374397,0.4736328125,9.517702403730242e-05,3.0975957630632596e-05,0.7021809895833333,0.000101181331311446
PS13,R,PLA,4,94.0,101.8550106868925,47.0,1.6339081635150816e-08,3.755585143358344e-09,9.685822068928697e-09,2.4788391897355342e-09,2.2098294235513203e-10,83,1.420249653259362,0.18619404950431515,0.4697265625,0.00012977494547734424,4.328858968732006e-05,0.6724283854166667,0.00012787911582937256
PS6,R,ANE,1,111.0,119.5606376932152,72.0,1.2432070706636536e-08,2.306399470755147e-09,6.476091044687078e-09,3.035197604383926e-09,4.851805801294265e-10,91,1.5398496240601505,0.20487203659211942,0.4228515625,0.00016999848392009536,3.177786795343923e-05,0.6746907552083333,0.00011187337389051872
PS6,R,ANE,2,99.0,112.62716383520315,70.0,1.6189030899999883e-08,3.47805624305698e-09,8.419291112642606e-09,3.557568963399758e-09,5.593077174195736e-10,98,1.6331738437001595,0.12782981688866674,0.41796875,0.00025147326673569684,3.6257045834177005e-05,0.7126627604166667,0.00012817109869347307
PS6,R,ANE,3,94.0,108.9289943041831,52.0,1.2366024446368029e-08,2.986699888231081e-09,6.486595302376859e-09,2.3164588401571716e-09,4.295962286584464e-10,94,1.5950155763239875,0.14567522597823024,0.4013671875,0.00019967412215972786,3.1852248831061475e-05,0.6306966145833334,0.00011131316042936329
PS6,R,ANE,4,97.0,109.1472631180079,79.0,1.4352738683881472e-08,3.299123289654151e-09,7.641149402968265e-09,2.809822450580898e-09,4.2551928315789547e-10,94,1.6331738437001595,0.15294129677425083,0.4228515625,0.0002042541865014972,3.457380398803953e-05,0.7021158854166667,0.00011928399805857447
PS6,R,PLA,1,104.0,117.13494957596784,71.0,6.870306715550759e-09,1.4200816140443195e-09,3.422485681315475e-09,1.6608050020259333e-09,2.7960686585374544e-10,91,1.5753846153846154,0.3018210699053643,0.4248046875,6.339909590058265e-05,2.4340627443307326e-05,0.6565755208333334,8.258874692428803e-05
PS6,R,PLA,2,95.0,109.0147032244712,56.0,1.2973304915344292e-08,3.2267306960917316e-09,6.580444543776156e-09,2.630111153469836e-09,3.7457619842943883e-10,91,1.5136733185513673,0.1690865077197942,0.42822265625,0.0001584170898405104,3.218839238849195e-05,0.6821940104166667,0.00011338173369426745
