subj,rama,side,cond,fs,dur_s,snr_db,MDF,MNF,peakF,totpow,p_20_60,p_60_150,p_150_250,p_250_450,n_cycles,chew_rate,cv_ipi,med_dur,med_amp,med_area,duty,rms_amp,mdf_slope,mnf_slope
PS5,R2,L,PLA,1024.0,240.0,26.55,84.0,98.022178880909,67.0,4.4123768923832674e-09,1.0592623727055981e-09,2.6212883789848657e-09,5.778746742776792e-10,9.502044526551514e-11,290,1.2618607516943932,0.3271790816683721,0.5478515625,6.929382678525769e-05,2.68553458206751e-05,0.6586385091145833,6.622317096074176e-05,4.824091979888192,5.168597650357145
PS5,R2,R,ANE,1024.0,240.0,29.59,90.0,107.46031430831523,74.0,1.0220560149415778e-08,2.1165766958646056e-09,5.737270954808114e-09,1.9257363626712044e-09,3.0232783808398637e-10,317,1.4027397260273973,0.3731826259872219,0.5224609375,9.06802756803649e-05,4.0069400643633624e-05,0.6879475911458334,0.00010126748186189859,1.31029148060898,0.33406720190637673
PS5,R2,R,PLA,1024.0,240.0,30.23,90.0,106.48469304473687,71.0,1.1983496031710164e-08,2.5418364606847413e-09,6.742319902997905e-09,2.2053307708247865e-09,3.393002646540085e-10,323,1.4163208852005533,0.3506733467982258,0.51904296875,9.337965399247082e-05,4.311211400589999e-05,0.7102620442708333,0.00010898353493297042,2.0482402165887272,1.0947197911567286
PS6,R2,L,ANE,1024.0,240.0,23.97,104.0,116.19206930998307,41.0,1.4340524039063857e-08,3.0243643775860853e-09,7.481519819999688e-09,3.0279136120120324e-09,6.369842000593751e-10,381,1.6075353218210362,0.16707723889361165,0.42431640625,0.00014399602322262556,3.218449239083216e-05,0.70579833984375,0.00011986309430832992,17.724376780000703,15.259575798636556
PS6,R2,L,PLA,1024.0,240.0,24.5,116.0,126.30960059430436,90.0,1.6333130215846124e-08,2.8131971678839882e-09,8.146841653726437e-09,4.246586136406129e-09,9.340181254586616e-10,363,1.5340823970037454,0.21407449341403376,0.43505859375,0.00016484179484972086,3.537266550831142e-05,0.6679606119791667,0.00012738261733396077,2.211420132906719,1.1948682581462253
PS6,R2,R,ANE,1024.0,240.0,29.79,100.0,112.41317761451617,67.0,1.3822855144942062e-08,3.015415928305411e-09,7.253146045683378e-09,2.92276923046005e-09,4.745982803831637e-10,375,1.6,0.16393752704766418,0.416015625,0.00019937875540990645,3.3898200644123555e-05,0.6842122395833333,0.00011785878648148277,6.360324883091312,4.687831908452575
PS6,R2,R,PLA,1024.0,240.0,28.5,101.0,113.5253028863609,62.0,1.0397538308489035e-08,2.283150322211133e-09,5.326752816450836e-09,2.3001173416775048e-09,3.6013007911475324e-10,358,1.5058823529411764,0.1965721850049049,0.4208984375,0.00013676583146497538,2.9996242485776056e-05,0.6542236328125,0.00010169061440638978,3.194402447171336,3.5849337926776976
PS7,R1,L,ANE,1024.0,240.0,15.39,94.0,104.76997399552342,41.0,2.5750814932644037e-09,6.969725796263649e-10,1.3388429342957858e-09,4.355979598636822e-10,7.35597293407355e-11,344,1.3969986357435198,0.27834136875574467,0.447265625,4.932740175658572e-05,1.7746491477742468e-05,0.672998046875,5.059463429777361e-05,1.8727189620618125,3.0632259687592405
PS7,R1,L,PLA,1024.0,240.0,16.03,96.0,105.30974405007983,50.0,2.946157955640694e-09,7.654605610550711e-10,1.5685175616394591e-09,4.970725102612256e-10,8.180809674342213e-11,355,1.4514528703047485,0.20593460986375442,0.4267578125,5.5971039198703646e-05,1.91349538916613e-05,0.6720540364583333,5.446920275985261e-05,-2.1372666221300243,1.208168594939082
PS7,R1,R,ANE,1024.0,240.0,20.61,88.0,101.5640396934368,40.0,5.692266341075955e-09,1.7886919390316123e-09,2.705877492842921e-09,9.63769862842325e-10,1.6629627405421757e-10,377,1.5238095238095237,0.291799884818454,0.4189453125,7.965648025758389e-05,2.31628062238701e-05,0.6861775716145834,7.533125244748616e-05,1.501634963608874,2.202665616436371
