subj,sel_side,cond,bout,amp_L,amp_R,mamp_L,mamp_R,asym
PS14,R,PLA,2,30.053057176185412,67.75106298407738,31.993363310180825,89.85877173759252,-0.38544394393732356
PS14,R,PLA,3,38.610206475743546,80.19506948631324,51.48643344375202,138.89921565345858,-0.350025389645578
PS14,R,PLA,4,33.22368188053519,88.88207875463092,45.397216747436055,125.0775698071842,-0.4558212207562779
M1,R,ANE,1,37.23537855112183,46.05380562293888,61.7612337190257,109.68829984140558,-0.10587721754349133
M1,R,ANE,2,39.237705992810206,45.8492263132613,75.34164244578105,80.1899282985107,-0.07770312245678694
M1,R,ANE,3,40.74627262115084,48.91918679637978,65.84006774577448,83.34521743855088,-0.09114896893765267
M1,R,ANE,4,42.267440372627135,49.54146629864222,75.47180444810817,86.09103592070394,-0.07923006808108889
M1,R,PLA,1,33.48780144287353,42.893662471885314,40.68350916969939,72.19768304091511,-0.12314324113385061
M1,R,PLA,2,33.33572637761742,42.559835852499006,44.11256509114239,83.92606343844913,-0.12153687519849757
M1,R,PLA,3,36.028276005783624,42.732017999841695,53.05552007067922,94.19936179931439,-0.08511575634264623
M1,R,PLA,4,37.234490673119275,47.068661849555255,68.97796381226905,99.95388963001527,-0.1166524724421287
PS5,R,ANE,1,52.60123556509,84.86147695085852,83.9558441521106,143.87804340762636,-0.23468357924353797
PS5,R,ANE,2,35.872905686853045,66.84446862620788,50.15576560965751,83.13856500506057,-0.3015221441015396
PS5,R,ANE,3,29.910083973751938,68.95116075489092,46.96684000121952,56.647280962069196,-0.3949078012147191
PS5,R,ANE,4,28.804605575325176,65.50710429663455,39.077213244593274,88.77372565860463,-0.38916162978210606
PS5,R,PLA,1,49.47913603841024,80.94289728827844,79.22536343466612,91.74882657725264,-0.24124575002642162
PS5,R,PLA,2,50.39462219471182,82.71364008546745,58.53144304577902,107.31743854168106,-0.24280249277634738
PS5,R,PLA,3,54.52020319335392,81.73582258954994,112.29400274273334,92.58822791921465,-0.1997388316576791
PS5,R,PLA,4,39.15088598164021,78.21463393657281,66.0404705891436,97.10107026992445,-0.332838366686861
S1,R,ANE,1,58.835884560902,66.00321686538753,138.02282233698796,205.6923967667511,-0.057412559227025324
S1,R,ANE,2,68.23418332486358,79.407785897973,147.48637089385582,199.432487710291,-0.07568039516084336
S1,R,ANE,3,68.26250634425881,88.72143178090403,141.4889784380734,204.36569432857698,-0.1303249598715841
S1,R,ANE,4,67.90748614693773,101.58998572420822,187.7962606826475,254.1281657703438,-0.1987197756133858
S1,R,PLA,1,52.646934761925756,69.4993310944927,99.08084779436092,170.95005658017575,-0.13796898508855449
S1,R,PLA,2,51.34198011511711,81.71191547219816,91.49065299795612,167.77817730322653,-0.22825288371320823
S1,R,PLA,3,66.44566660590979,90.5890687618038,127.33109251095487,228.841923843273,-0.15374561621261373
S1,R,PLA,4,60.62873843938224,92.28142605233985,161.88477325284822,225.8631166569909,-0.20700185444291344
S5,R,ANE,1,36.68072613566867,101.43815805351262,50.46937908262766,187.19512243314776,-0.46885284585086345
