subj,emg_comp,tb_rt_ANE,tb_acc_ANE,vo_rt_ANE,vo_acc_ANE,tb_rt_PLA,tb_acc_PLA,vo_rt_PLA,vo_acc_PLA,d_tb_rt,d_tb_acc,d_vo_rt,d_vo_acc
S1,34.74234018657535,574.3758483290816,94.5945945945946,534.7261750706054,100.0,631.93514119635,90.9090909090909,526.1503589419207,95.23809523809523,-57.55929286726837,3.68550368550369,8.575816128684778,4.761904761904773
S2,34.46217694773648,385.6417558636167,95.0,424.94086209689675,94.11764705882352,405.7702501156283,96.61016949152543,416.2724572997023,97.91666666666666,-20.128494252011592,-1.6101694915254257,8.668404797194455,-3.7990196078431353
S3,6.4081793819879,479.48196515645736,82.53968253968253,435.0987583378066,97.82608695652173,412.557782537615,96.92307692307692,442.37845936798595,100.0,66.92418261884234,-14.38339438339439,-7.279701030179353,-2.173913043478265
S4,-13.170492210304133,505.26267994413496,90.0,425.20279043035475,78.94736842105263,522.0805978436017,73.17073170731707,421.0643714476498,86.53846153846155,-16.81791789946675,16.829268292682926,4.138418982704934,-7.591093117408917
S5,47.053324612158576,388.483694228853,93.42105263157895,475.69134966922087,88.23529411764706,476.7199362121617,75.5813953488372,432.9519870311035,64.7887323943662,-88.23624198330873,17.83965728274174,42.73936263811737,23.44656172328085
S6,9.258337726980308,579.8241501961968,57.14285714285714,444.3695245827852,88.23529411764706,516.1737159229745,45.714285714285715,437.68708867557643,94.11764705882352,63.650434273222345,11.428571428571423,6.682435907208742,-5.882352941176464
S7,103.7854737536156,651.4816649256387,91.78082191780823,442.72121964011404,97.87234042553192,544.1773279708002,95.65217391304348,432.5308028256991,100.0,107.3043369548385,-3.8713519952352584,10.19041681441496,-2.1276595744680833
S8,-10.326643101650546,479.974936133173,89.85507246376811,473.57989442170947,100.0,561.7285584356396,87.5,481.86865838990917,95.1219512195122,-81.75362230246657,2.35507246376811,-8.288763968199703,4.878048780487802
S9,-14.032031742632768,668.3009208099418,89.28571428571429,459.1192515196202,95.74468085106383,626.9179836878895,86.36363636363636,455.0165295524696,95.91836734693877,41.382937122052226,2.922077922077932,4.1027219671506145,-0.17368649587493223
S10,50.1230343373678,704.3410845511543,62.96296296296296,474.27576886521155,95.1219512195122,683.5292768041242,58.92857142857143,487.7487944746136,95.34883720930233,20.811807747030116,4.034391534391531,-13.473025609402043,-0.22688598979013364
