subj,auto_ok,ANE_b1,ANE_avg,ANE_b2,ANE_b3,ANE_b4,PLA_b1,PLA_avg,PLA_b2,PLA_b3,PLA_b4
S1,True,205.6923967667511,215.90468614399072,199.432487710291,204.36569432857698,254.1281657703438,170.95005658017575,198.35831859591656,167.77817730322653,228.841923843273,225.8631166569909
S2,True,188.70503705682833,163.39237977652294,206.16558379086007,164.9917168246269,93.70718143377631,154.24286010909188,157.79534231771706,139.7547199604593,143.8970809562037,193.2867082451133
S3,True,44.42668625002723,46.724540032143864,46.31019514494031,46.07609183549861,50.0851868981093,38.018506868039324,41.61759627402461,50.799509788815946,41.33834339862503,36.314025040618155
S4,True,164.66970102311586,169.0249549343996,207.66250806406703,139.14293870926727,164.62467194114834,177.84019323342,184.68558424874078,192.78170172792215,184.094681241287,184.02576079233398
S5,True,187.19512243314776,200.2123121993858,202.85799288498444,155.16739732912305,255.6287361502879,140.14179782098918,170.588480306158,209.12747784106844,197.64096348693607,135.44368207563824
S6,True,72.31621722913474,62.770522373272634,58.59292528851369,71.74017461776931,48.432772357672796,63.05787950215443,64.64002164891353,64.61761975199448,69.99464676231584,60.889940579189336
S7,True,300.96413277749565,260.32560074623586,214.71404576911513,238.59274287583568,287.03148156249705,197.17865902388004,247.73731930741096,239.83892767564402,302.57426498597255,251.35742554414725
S8,True,65.16713065903578,60.70563782420939,59.63641768229149,51.38998668805693,66.62901626745338,75.49377376068632,67.88846181246075,67.8203047817258,64.94827261754051,63.29149608989037
S9,True,71.69657640117178,119.10792829045671,131.7054551356091,133.6452265144531,139.38445511059288,85.72860814380455,115.42279990343458,115.48184227167374,114.50541516630831,145.9753340319517
S10,True,140.39836915878647,146.32313498927277,175.97985112862096,156.70562851511065,112.20869115457309,90.2753348214187,128.9627067493715,125.03451934483114,142.59353951295017,157.94743331828593
S11,True,114.11056791286234,111.3961004633904,112.04349661140492,114.22518652460084,105.20515080469353,105.69036136098177,113.14127713742194,95.34992296877944,109.3803547716293,142.1444694482972
S12,True,93.88723301127168,86.18802399554119,82.60087871629402,93.86520113431558,74.39878312028347,61.04383238873725,62.42667606778188,46.64552961647416,72.37786151731652,69.6394807485996
S13,True,116.84605353704342,86.41661686269927,80.86518584705293,73.745890057206,74.20933800949473,65.69113693986073,97.58782704673916,97.68586961011232,98.06470497427061,128.909596662713
S14,True,41.72605636322489,43.44482904318507,43.73483656014433,44.87786075083426,43.44056249853679,34.38877469183157,35.600911887477004,38.418024953084554,43.06008780238782,26.536760102604077
